41;THPT Kim Liên;1;Hà Nội;Số 1 Ngõ 4C Đặng Văn Ngữ, phường Trung Tự, quận Đống Đa, TP Hà Nội;3
42;THPT Lê Quý Đôn-Đống Đa;1;Hà Nội;Số 195 Ngõ Xã Đàn II, phường Nam Đồng, quận Đống Đa, TP Hà Nội;3
43;THPT Phan Huy Chú-Đống Đa;1;Hà Nội;Số 34 Ngõ 49 Huỳnh Thúc Kháng, phường Láng Hạ, quận Đống Đa, TP Hà Nội;3
44;THPT Quang Trung-Đống Đa;1;Hà Nội;Số 178 Đường Láng, phường Thịnh Quang, quận Đống Đa, TP Hà Nội;3
45;THCS&THPT Alfred Nobel;1;Hà Nội;Ngõ 14C Pháo đài Láng, phường Láng Thượng, quận Đống Đa, TP Hà Nội;3
46;THPT Bắc Hà-Đống Đa;1;Hà Nội;Số 1A, ngõ 538 Đường Láng, phường Láng Hạ, quận Đống Đa, TP Hà Nội;3
47;THPT Hà Nội;1;Hà Nội;Số 106, phố Thái Thịnh, quận Đống Đa, TP Hà Nội;3
48;THPT Nguyễn Du-Mê Linh;1;Hà Nội;Số 20 Tôn Thất Tùng, quận Đống Đa, TP Hà Nội;3
49;THPT Nguyễn Văn Huyên;1;Hà Nội;Số 55A Phố Nhuệ Giang, Phường Tây Mỗ, quận Nam Từ Liêm, TP. Hà Nội;3
50;THPT Phùng Khắc Khoan;1;Hà Nội;Số 85 phố Lương Đình Của, phường Phương Mai, quận Đống Đa, TP Hà Nội;3
51;THPT Văn Lang;1;Hà Nội;Số 160 Tôn Đức Thắng, quận Đống Đa, TP Hà Nội;3
52;THCS&THPT TH School;1;Hà Nội;Số 4-6 Chùa Bộc, phường Quang Trung, quận Đống Đa, Hà Nội;3
53;GDNN-GDTX quận Đống Đa;1;Hà Nội;Số 5 ngõ 4A Phố Đặng Văn Ngữ, phường Trung Tự, quận Đống Đa, TP Hà Nội;3
54;GDTX Đống Đa;1;Hà Nội;Số 5 ngõ 4A Đặng Văn Ngữ- Quận Đống Đa- TP Hà Nội;3
2310;Quân nhân, Công an tại ngũ_21;21;Hải Dương;"";3
55;Học viện âm nhạc QGVN;1;Hà Nội;Số 77 Hào Nam, phường Ô Chợ Dừa, quận Đống Đa, TP Hà Nội;3
56;Đại học Văn Hóa Nghệ thuật Quân đội;1;Hà Nội;số 101 đường Nguyễn Chí Thanh, Phường Láng Hạ, Quận Đống Đa, TP Hà Nội;3
57;CĐ Kỹ thuật thiết bị y tế;1;Hà Nội;Số 1 Ngõ 89, Phương Mai, Quận Đống Đa, TP Hà Nội;3
58;CĐ nghề Công nghiệp Hà Nội;1;Hà Nội;Số 131 Phố Thái Thịnh, Quận Đống Đa, TP Hà Nội;3
59;TC nghề Công đoàn Việt Nam;1;Hà Nội;Số 21 ngõ 167 Tây Sơn, Quang Trung, Quận Đống Đa, TP Hà Nội;3
60;TC nghề may và thời trang Hà Nội;1;Hà Nội;Số 56 Khâm Thiên, Quận Đống Đa, TP Hà Nội;3
61;TC nghề Nấu ăn và Nghiệp vụ khách sạn HN;1;Hà Nội;Số 6, ngõ Lệnh Cư, Khâm Thiên, Quận Đống Đa, TP Hà Nội;3
62;TC nghề thông tin và truyền thông HN;1;Hà Nội;Số 30 Trung Liệt, Quận Đống Đa, TP Hà Nội;3
63;Trường Nghệ thuật Quân đội;1;Hà Nội;Đường Nguyễn Chí Thanh, Quận Đống Đa, TP Hà Nội;3
64;THPT Chu Văn An;1;Hà Nội;Số 10 Thuỵ Khuê, Quận Tây Hồ, TP Hà Nội;3
65;THPT Tây Hồ;1;Hà Nội;Số 41, phố Phú Thượng, phường Phú Thượng, quận Tây Hồ, TP Hà Nội;3
66;THPT Đông Đô;1;Hà Nội;Số 8 Võng Thị, phường Bưởi, quận Tây Hồ, TP Hà Nội;3
67;THPT Hà Nội Academy;1;Hà Nội;Lô D45-D46 Khu đô thị Quốc tế Nam Thăng Long Ciputra, phường Phú Thượng, quận Tây Hồ, TP Hà Nội;3
68;THPT Phan Chu Trinh;1;Hà Nội;Số 481 đường Âu Cơ, phường Nhật Tân, quận Tây Hồ, TP Hà Nội;3
69;TH,THCS,THPT Song ngữ QT Horizon;1;Hà Nội;Số 98 Tô Ngọc Vân, phường Quảng An, quận Tây Hồ, TP Hà Nội;3
70;GDNN-GDTX quận Tây Hồ;1;Hà Nội;Số 43 Phố Phú Thượng, phường Phú Thượng, quận Tây Hồ, TP Hà Nội;3
71;GDTX Tây Hồ;1;Hà Nội;Số 57/15 đường An Dương Vương- Phú Thượng- Quận Tây Hồ- TP Hà Nội;3
72;TC nghề Kỹ nghệ thực hành HIPT;1;Hà Nội;Ngõ 28, tầng 2, chung cư nhà F, Xuân La, Quận Tây Hồ, TP Hà Nội;3
73;THPT Cầu Giấy;1;Hà Nội;Ngõ 118, Đường Nguyễn Khánh Toàn, Quận Cầu Giấy, TP Hà Nội;3
74;THPT chuyên Đại học Sư phạm;1;Hà Nội;Số 136 đường Xuân Thuỷ, Phường Dịch Vọng Hậu, Quận Cầu Giấy, TP Hà Nội;3
75;THPT chuyên Hà Nội-Amsterdam;1;Hà Nội;Số 1, đường Hoàng Minh Giám, quận Cầu Giấy, TP Hà Nội;3
76;THPT chuyên Ngoại ngữ;1;Hà Nội;Số 2 đường Phạm Văn Đồng, phường Dịch Vọng Hậu, quận Cầu Giấy, TP Hà Nội;3
77;THCS và THPT Nguyễn Tất Thành;1;Hà Nội;Số 136 Đường Xuân Thuỷ, phường Dịch Vọng Hậu, quận Cầu Giấy, TP Hà Nội;3
78;THPT Yên Hòa;1;Hà Nội;Số 251 Nguyễn Khang, phường Yên Hòa, quận Cầu Giấy, TP Hà Nội;3
79;THPT Einstein;1;Hà Nội;Số 169, phố Nguyễn Ngọc Vũ, phường Trung Hòa, quận Cầu Giấy, TP Hà Nội;3
80;PTDL Hermann Gmeiner;1;Hà Nội;Số 2 Doãn Kế Thiện, phường Mai Dịch, quận Cầu Giấy, TP Hà Nội;3
81;THPT Hồng Bàng;1;Hà Nội;Số 169 Nguyễn Ngọc Vũ, Quận Cầu Giấy, TP Hà Nội;3
82;THCS&THPT Lương Thế Vinh;1;Hà Nội;C5 khu đô thị Nam Trung Yên, phường Trung Hòa, quận Cầu giấy, TP Hà Nội;3
83;THPT Lương Văn Can;1;Hà Nội;Lô NT1, khu đô thị Nam Trung Yên, phường Trung Hòa, quận Cầu Giấy, TP Hà Nội;3
84;THPT Lý Thái Tổ;1;Hà Nội;Số 165 Đường Hoàng Ngân, phường Trung Hòa, quận Cầu Giấy, TP Hà Nội;3
85;THCS&THPT Nguyễn Bỉnh Khiêm-Cầu Giấy;1;Hà Nội;Số 6 Trần Quốc Hoàn, phường Dịch Vọng Hậu, quận Cầu Giấy, TP Hà Nội;3
86;THCS và THPT Nguyễn Siêu;1;Hà Nội;Số 35, Phố Mạc Thái Tổ, phường Yên Hòa, quận Cầu Giấy, TP Hà Nội;3
87;THPT Global;1;Hà Nội;Lô C1, C2 Khu đô thị mới Yên Hòa, phường Yên Hòa, quận Cầu Giấy, TP Hà Nội;3
88;TH,THCS&THPT Đa Trí Tuệ;1;Hà Nội;Lô TH2, Khu đô thị mới Dịch Vọng, phường Dịch Vọng, quận Cầu Giấy, TP Hà Nội;3
89;GDNN-GDTX quận Cầu Giấy;1;Hà Nội;Số 2 Ngõ 181 đường Xuân Thuỷ, phường Dịch Vọng Hậu, quận Cầu Giấy, TP Hà Nội;3
90;GDTX&DN Cầu Giấy;1;Hà Nội;Ngõ 223 đường Xuân Thuỷ, quận Cầu Giấy, TP Hà Nội;3
91;Trung cấp NT Xiếc và Tạp kỹ Việt Nam;1;Hà Nội;Khu Văn hóa nghệ thuật, phường Mai Dịch, quận Cầu Giấy, TP Hà Nội;3
92;Cao đẳng Sư phạm Trung ương;1;Hà Nội;Số 387 Hoàng Quốc Việt, phường Nghĩa Tân, quận Cầu Giấy, TP Hà Nội;3
93;Học viện Múa Việt Nam;1;Hà Nội;Khu văn hóa nghệ thuật, phường Mai Dịch, quận Cầu Giấy, TP Hà Nội;3
94;CĐ nghề cơ điện Hà Nội;1;Hà Nội;Số 160 Mai Dịch, Quận Cầu Giấy, TP Hà Nội;3
95;CĐ nghề Phú Châu;1;Hà Nội;Số 104, đường Hoàng Quốc Việt, Quận Cầu Giấy, TP Hà Nội;3
96;CĐ nghề Trần Hưng Đạo;1;Hà Nội;Số 24, ngõ 4, Phố Phạm Tuấn Tài, Quận Cầu Giấy, TP Hà Nội;3
97;Trường CĐ Múa Việt Nam;1;Hà Nội;"";3
98;THPT chuyên Khoa học tự nhiên;1;Hà Nội;Số 182 đường Lương Thế Vinh, phường Thanh Xuân Bắc, quận Thanh Xuân, TP Hà Nội;3
99;THPT Nhân Chính;1;Hà Nội;Phố Ngụy Như Kon Tum, phường Nhân Chính, quận Thanh Xuân, TP Hà Nội;3
100;THPT Trần Hưng Đạo-Thanh Xuân;1;Hà Nội;Ngõ 477 Nguyễn Trãi, phường Thanh Xuân Nam, quận Thanh Xuân, TP Hà Nội;3
101;THPT Khương Đình;1;Hà Nội;Ngách 29/78 Khương Hạ, Phường Khương Đình,quận Thanh Xuân, TP Hà Nội;3
102;THPT chuyên Khoa học Xã hội và Nhân văn;1;Hà Nội;số 336 đường Nguyễn Trãi, phường Thanh Xuân Trung, quận Thanh Xuân, TP Hà Nội;3
